week_start,week_end,campaign_id,campaign_name,api_row_returned,impressions,clicks,interactions,cost,conversions,conversion_value,roas,ctr,average_cpc,conversion_rate,average_conversion_value,all_conversions,all_conversion_value
2024-07-22,2024-07-28,20647427212,Performance Max-2,True,184912,1332,1335,1118.180046,8.323581,921.860030,0.824429,0.007203,0.839475,0.006235,110.752815,65.323581,921.860030
2024-07-29,2024-08-04,20647427212,Performance Max-2,True,155094,1181,1204,1073.656567,9.871581,939.002321,0.874584,0.007615,0.909108,0.008199,95.121776,52.876110,939.002321
2024-08-05,2024-08-11,20647427212,Performance Max-2,True,155843,1314,1414,1137.628906,7.708694,944.314803,0.830073,0.008432,0.865775,0.005452,122.499972,46.012577,944.314803
2024-08-12,2024-08-18,20647427212,Performance Max-2,True,143477,1308,1517,1127.125060,18.053611,2405.409826,2.134111,0.009116,0.861716,0.011901,133.237048,77.917170,2405.409826
2024-08-19,2024-08-25,20647427212,Performance Max-2,True,101629,860,982,749.837713,5.814892,155.512725,0.207395,0.008462,0.871904,0.005921,26.743872,37.436973,155.512725
2024-08-26,2024-09-01,20647427212,Performance Max-2,True,61114,600,624,515.238603,7.370977,313.736611,0.608915,0.009818,0.858731,0.011812,42.563776,26.375887,313.736611
2024-09-02,2024-09-08,20647427212,Performance Max-2,True,76046,676,682,603.662444,8.008420,686.917321,1.137916,0.008889,0.892992,0.011743,85.774388,33.004267,686.917321
2024-09-09,2024-09-15,20647427212,Performance Max-2,True,75145,702,712,571.369333,10.279434,1201.244337,2.102396,0.009342,0.813916,0.014437,116.858996,44.768391,1201.244337
2024-09-16,2024-09-22,20647427212,Performance Max-2,True,82225,727,729,562.542917,6.266889,2018.998091,3.589056,0.008842,0.773787,0.008597,322.169116,45.427252,2018.998091
2024-09-23,2024-09-29,20647427212,Performance Max-2,True,77626,694,695,547.558514,11.883906,4217.134804,7.701706,0.008940,0.788989,0.017099,354.861003,46.701784,4217.134804
2024-09-30,2024-10-06,20647427212,Performance Max-2,True,74214,685,773,542.350204,8.007929,599.114827,1.104664,0.009230,0.791752,0.010360,74.815202,36.047069,599.114827
2024-10-07,2024-10-13,20647427212,Performance Max-2,True,78017,670,844,587.032372,3.000000,184.110000,0.313628,0.008588,0.876168,0.003555,61.370000,24.527438,184.110000
2024-10-14,2024-10-20,20647427212,Performance Max-2,True,64785,609,704,544.984748,9.129582,3312.937246,6.078954,0.009400,0.894885,0.012968,362.879401,48.340956,3312.937246
2024-10-21,2024-10-27,20647427212,Performance Max-2,True,63834,671,737,551.709215,5.222220,79.228545,0.143606,0.010512,0.822219,0.007086,15.171430,30.859842,79.228545
2024-10-28,2024-11-03,20647427212,Performance Max-2,True,63602,649,745,525.527606,10.191299,2466.865181,4.694073,0.010204,0.809750,0.013680,242.056011,50.987249,2466.865181
2024-11-04,2024-11-10,20647427212,Performance Max-2,True,63989,604,687,545.015761,11.486912,2686.934570,4.930013,0.009439,0.902344,0.016720,233.912697,43.634318,2686.934570
2024-11-11,2024-11-17,20647427212,Performance Max-2,True,79371,776,955,664.713027,18.000000,3950.180000,5.942685,0.009777,0.856589,0.018848,219.454444,60.000450,3950.180000
2024-11-18,2024-11-24,20647427212,Performance Max-2,True,70106,677,693,516.695091,15.276196,8315.919208,16.094442,0.009657,0.763213,0.022044,544.371073,40.271224,8315.919208
2024-11-25,2024-12-01,20647427212,Performance Max-2,True,79424,675,694,541.722062,8.000000,12594.380000,23.248785,0.008499,0.802551,0.011527,1574.297500,44.480353,12594.380000
2024-12-02,2024-12-08,20647427212,Performance Max-2,True,70917,681,729,551.230376,0.000000,0.000000,0.000000,0.009603,0.809443,0.000000,,39.000000,0.000000
2024-12-09,2024-12-15,20647427212,Performance Max-2,True,75894,748,896,589.627059,10.006695,1209.278111,2.050920,0.009856,0.788271,0.011168,120.846904,40.532546,1209.932591
2024-12-16,2024-12-22,20647427212,Performance Max-2,True,51891,537,658,523.030876,18.783880,5436.950974,10.395086,0.010349,0.973987,0.028547,289.447706,55.941489,5437.310254
2024-12-23,2024-12-29,20647427212,Performance Max-2,True,75010,788,855,549.909110,16.093213,433.001002,0.787405,0.010505,0.697854,0.018822,26.905814,76.842669,433.001002
2024-12-30,2025-01-05,20647427212,Performance Max-2,True,78158,775,839,533.609885,15.394751,3060.367467,5.735215,0.009916,0.688529,0.018349,198.792918,54.575254,3060.367467
2025-01-06,2025-01-12,20647427212,Performance Max-2,True,81893,796,898,561.954798,11.983557,1850.077946,3.292218,0.009720,0.705973,0.013345,154.384708,63.821892,2201.931166
2025-01-13,2025-01-19,20647427212,Performance Max-2,True,59759,616,737,569.865151,11.613230,7091.634097,12.444407,0.010308,0.925106,0.015757,610.651309,43.873528,7091.634097
2025-01-20,2025-01-26,20647427212,Performance Max-2,True,79869,850,979,708.361837,8.897673,2253.517673,3.181309,0.010642,0.833367,0.009089,253.270453,57.872699,2253.517673
2025-01-27,2025-02-02,20647427212,Performance Max-2,True,59053,737,926,711.889398,5.886630,365.132812,0.512907,0.012480,0.965929,0.006357,62.027478,50.282239,365.132812
2025-02-03,2025-02-09,20647427212,Performance Max-2,True,79854,864,1036,795.466218,8.504761,333.760340,0.419578,0.010820,0.920678,0.008209,39.243941,66.010958,333.760340
2025-02-10,2025-02-16,20647427212,Performance Max-2,True,84749,783,849,765.622805,8.627729,578.608514,0.755736,0.009239,0.977807,0.010162,67.063826,53.055340,578.608514
2025-02-17,2025-02-23,20647427212,Performance Max-2,True,96382,846,884,754.335242,3.035811,366.978981,0.486493,0.008778,0.891649,0.003434,120.883343,34.252938,366.978981
2025-02-24,2025-03-02,20647427212,Performance Max-2,True,86673,754,836,704.277973,8.286631,4145.233184,5.885791,0.008699,0.934056,0.009912,500.231419,44.620042,4145.233184
2025-03-03,2025-03-09,20647427212,Performance Max-2,True,117699,1002,1088,906.945149,10.685521,973.906054,1.073831,0.008513,0.905135,0.009821,91.142589,70.702187,973.906054
2025-03-10,2025-03-16,20647427212,Performance Max-2,True,107079,1060,1105,929.941976,14.238963,1339.333276,1.440233,0.009899,0.877304,0.012886,94.061153,64.414215,1339.333276
2025-03-17,2025-03-23,20647427212,Performance Max-2,True,96897,1064,1132,892.665606,7.743759,69.381043,0.077723,0.010981,0.838971,0.006841,8.959608,68.300029,69.381043
2025-03-24,2025-03-30,20647427212,Performance Max-2,True,111263,1187,1323,866.129174,16.135797,2947.744662,3.403355,0.010668,0.729679,0.012196,182.683549,86.026271,2947.744662
2025-03-31,2025-04-06,20647427212,Performance Max-2,True,112350,1050,1178,942.982073,11.903020,2413.766668,2.559716,0.009346,0.898078,0.010104,202.786072,59.471916,2413.766668
2025-04-07,2025-04-13,20647427212,Performance Max-2,True,105721,951,1051,964.276999,12.196778,4847.686623,5.027276,0.008995,1.013961,0.011605,397.456330,78.039436,4847.686623
2025-04-14,2025-04-20,20647427212,Performance Max-2,True,68345,758,845,939.515911,6.664942,1207.911697,1.285675,0.011091,1.239467,0.007888,181.233640,40.350760,1207.911697
2025-04-21,2025-04-27,20647427212,Performance Max-2,True,77618,861,906,897.244383,10.890512,3995.200730,4.452745,0.011093,1.042096,0.012020,366.851506,65.706039,3995.200730
2025-04-28,2025-05-04,20647427212,Performance Max-2,True,73794,834,914,883.725484,10.853826,3874.482084,4.384260,0.011302,1.059623,0.011875,356.969246,79.066164,3874.482084
2025-05-05,2025-05-11,20647427212,Performance Max-2,True,69819,828,889,877.480656,10.262694,533.606651,0.608112,0.011859,1.059759,0.011544,51.994793,60.523444,533.606651
2025-05-12,2025-05-18,20647427212,Performance Max-2,True,96309,990,1061,962.329609,12.000000,999.340000,1.038459,0.010279,0.972050,0.011310,83.278333,72.257334,999.340000
2025-05-19,2025-05-25,20647427212,Performance Max-2,True,82006,857,915,856.773152,2.000000,18.430000,0.021511,0.010450,0.999735,0.002186,9.215000,49.721644,18.430000
2025-05-26,2025-06-01,20647427212,Performance Max-2,True,68072,752,971,838.569780,9.956410,1711.092098,2.040489,0.011047,1.115119,0.010254,171.858340,50.914115,1711.092098
2025-06-02,2025-06-08,20647427212,Performance Max-2,True,84693,971,1227,968.656640,14.486708,6836.391890,7.057601,0.011465,0.997587,0.011807,471.907896,65.577531,6836.391890
2025-06-09,2025-06-15,20647427212,Performance Max-2,True,93511,977,1012,966.996011,11.746950,9345.208829,9.664165,0.010448,0.989761,0.011608,795.543424,54.512354,9345.208829
2025-06-16,2025-06-22,20647427212,Performance Max-2,True,100125,962,993,1094.705487,13.329225,14373.612835,13.130119,0.009608,1.137947,0.013423,1078.353230,53.058782,14373.612835
2025-06-23,2025-06-29,20647427212,Performance Max-2,True,110954,1137,1251,1160.816326,24.066378,3039.600654,2.618503,0.010247,1.020947,0.019238,126.300711,83.787739,3039.600654
2025-06-30,2025-07-06,20647427212,Performance Max-2,True,99528,1031,1565,1097.641331,12.445572,968.214154,0.882086,0.010359,1.064638,0.007952,77.795874,70.871762,968.214154
2025-07-07,2025-07-13,20647427212,Performance Max-2,True,104187,982,1420,1091.306538,16.378044,2938.938780,2.693046,0.009425,1.111310,0.011534,179.443820,73.419162,2938.938780
2025-07-14,2025-07-20,20647427212,Performance Max-2,True,103906,1058,1268,1143.224576,13.960461,1993.843496,1.744052,0.010182,1.080553,0.011010,142.820749,78.459178,1993.843496
2025-07-21,2025-07-27,20647427212,Performance Max-2,True,131604,1417,1618,1434.920247,10.507531,1669.250476,1.163305,0.010767,1.012647,0.006494,158.862294,43.501497,1669.250476
2025-07-28,2025-08-03,20647427212,Performance Max-2,True,100131,1142,1216,1480.989224,10.236392,3079.549953,2.079387,0.011405,1.296838,0.008418,300.843300,10.236392,3079.549953
2025-08-04,2025-08-10,20647427212,Performance Max-2,True,138188,1540,1646,1659.938090,9.253443,1770.945650,1.066875,0.011144,1.077882,0.005622,191.382348,9.253443,1770.945650
2025-08-11,2025-08-17,20647427212,Performance Max-2,True,102691,1232,1434,1767.345805,18.919959,3866.564719,2.187781,0.011997,1.434534,0.013194,204.364329,18.919959,3866.564719
2025-08-18,2025-08-24,20647427212,Performance Max-2,True,111604,1343,1569,1626.014531,9.923284,1807.718228,1.111748,0.012034,1.210733,0.006325,182.169353,9.923284,1807.718228
2025-08-25,2025-08-31,20647427212,Performance Max-2,True,89974,1139,1480,1542.453753,10.982841,7090.521037,4.596910,0.012659,1.354218,0.007421,645.599899,10.982841,7090.521037
2025-09-01,2025-09-07,20647427212,Performance Max-2,True,100345,1302,1942,1765.301087,16.741782,375.867864,0.212920,0.012975,1.355838,0.008621,22.450887,16.741782,375.867864
2025-09-08,2025-09-14,20647427212,Performance Max-2,True,93490,1145,2549,1683.011786,10.568302,965.515154,0.573683,0.012247,1.469879,0.004146,91.359535,10.568302,965.515154
2025-09-15,2025-09-21,20647427212,Performance Max-2,True,131419,1339,1857,1764.495104,26.244311,12076.591785,6.844219,0.010189,1.317771,0.014133,460.160367,26.244311,12076.591785
2025-09-22,2025-09-28,20647427212,Performance Max-2,True,82745,1149,1472,1646.127146,9.457876,1053.005084,0.639686,0.013886,1.432661,0.006425,111.336317,9.457876,1053.005084
2025-09-29,2025-10-05,20647427212,Performance Max-2,True,83037,1098,1208,1605.650577,12.607910,2128.322079,1.325520,0.013223,1.462341,0.010437,168.808477,25.902025,2529.096194
2025-10-06,2025-10-12,20647427212,Performance Max-2,True,112493,1389,1445,1715.059944,10.785482,604.737067,0.352604,0.012347,1.234744,0.007464,56.069545,359.448892,1131.077401
2025-10-13,2025-10-19,20647427212,Performance Max-2,True,114505,1402,1446,1659.043895,19.931022,3954.680705,2.383711,0.012244,1.183341,0.013784,198.418360,314.527541,6232.233810
