week_start,week_end,campaign_id,campaign_name,conversion_action_resource,conversion_action_name,conversion_action_category,conversions,conversion_value,all_conversions,all_conversion_value
2024-07-22,2024-07-28,20647427212,Performance Max-2,customers/5626118344/conversionActions/6736245036,Add Sample to Cart,OUTBOUND_CLICK,0.000000,0.000000,19.000000,0.000000
2024-07-22,2024-07-28,20647427212,Performance Max-2,customers/5626118344/conversionActions/6736236130,Add to Cart,OUTBOUND_CLICK,0.000000,0.000000,29.000000,0.000000
2024-07-22,2024-07-28,20647427212,Performance Max-2,customers/5626118344/conversionActions/6736333819,Product Question,OUTBOUND_CLICK,0.000000,0.000000,9.000000,0.000000
2024-07-22,2024-07-28,20647427212,Performance Max-2,customers/5626118344/conversionActions/858632371,SR Sales,PURCHASE,8.323581,921.860030,8.323581,921.860030
2024-07-29,2024-08-04,20647427212,Performance Max-2,customers/5626118344/conversionActions/6736245036,Add Sample to Cart,OUTBOUND_CLICK,0.000000,0.000000,22.663396,0.000000
2024-07-29,2024-08-04,20647427212,Performance Max-2,customers/5626118344/conversionActions/6736236130,Add to Cart,OUTBOUND_CLICK,0.000000,0.000000,17.274313,0.000000
2024-07-29,2024-08-04,20647427212,Performance Max-2,customers/5626118344/conversionActions/6736506428,Contact Us,OUTBOUND_CLICK,0.000000,0.000000,1.000000,0.000000
2024-07-29,2024-08-04,20647427212,Performance Max-2,customers/5626118344/conversionActions/6736333819,Product Question,OUTBOUND_CLICK,0.000000,0.000000,2.066820,0.000000
2024-07-29,2024-08-04,20647427212,Performance Max-2,customers/5626118344/conversionActions/858632371,SR Sales,PURCHASE,9.871581,939.002321,9.871581,939.002321
2024-08-05,2024-08-11,20647427212,Performance Max-2,customers/5626118344/conversionActions/6736245036,Add Sample to Cart,OUTBOUND_CLICK,0.000000,0.000000,13.324430,0.000000
2024-08-05,2024-08-11,20647427212,Performance Max-2,customers/5626118344/conversionActions/6736236130,Add to Cart,OUTBOUND_CLICK,0.000000,0.000000,18.009296,0.000000
2024-08-05,2024-08-11,20647427212,Performance Max-2,customers/5626118344/conversionActions/6736506428,Contact Us,OUTBOUND_CLICK,0.000000,0.000000,1.000000,0.000000
2024-08-05,2024-08-11,20647427212,Performance Max-2,customers/5626118344/conversionActions/6736333819,Product Question,OUTBOUND_CLICK,0.000000,0.000000,5.970157,0.000000
2024-08-05,2024-08-11,20647427212,Performance Max-2,customers/5626118344/conversionActions/858632371,SR Sales,PURCHASE,7.708694,944.314803,7.708694,944.314803
2024-08-12,2024-08-18,20647427212,Performance Max-2,customers/5626118344/conversionActions/6736245036,Add Sample to Cart,OUTBOUND_CLICK,0.000000,0.000000,29.250734,0.000000
2024-08-12,2024-08-18,20647427212,Performance Max-2,customers/5626118344/conversionActions/6736236130,Add to Cart,OUTBOUND_CLICK,0.000000,0.000000,26.023899,0.000000
2024-08-12,2024-08-18,20647427212,Performance Max-2,customers/5626118344/conversionActions/6736333819,Product Question,OUTBOUND_CLICK,0.000000,0.000000,4.588926,0.000000
2024-08-12,2024-08-18,20647427212,Performance Max-2,customers/5626118344/conversionActions/858632371,SR Sales,PURCHASE,18.053611,2405.409826,18.053611,2405.409826
2024-08-19,2024-08-25,20647427212,Performance Max-2,customers/5626118344/conversionActions/6736245036,Add Sample to Cart,OUTBOUND_CLICK,0.000000,0.000000,12.824020,0.000000
2024-08-19,2024-08-25,20647427212,Performance Max-2,customers/5626118344/conversionActions/6736236130,Add to Cart,OUTBOUND_CLICK,0.000000,0.000000,16.798061,0.000000
2024-08-19,2024-08-25,20647427212,Performance Max-2,customers/5626118344/conversionActions/6736506428,Contact Us,OUTBOUND_CLICK,0.000000,0.000000,1.000000,0.000000
2024-08-19,2024-08-25,20647427212,Performance Max-2,customers/5626118344/conversionActions/6736333819,Product Question,OUTBOUND_CLICK,0.000000,0.000000,1.000000,0.000000
2024-08-19,2024-08-25,20647427212,Performance Max-2,customers/5626118344/conversionActions/858632371,SR Sales,PURCHASE,5.814892,155.512725,5.814892,155.512725
2024-08-26,2024-09-01,20647427212,Performance Max-2,customers/5626118344/conversionActions/6736245036,Add Sample to Cart,OUTBOUND_CLICK,0.000000,0.000000,7.000000,0.000000
2024-08-26,2024-09-01,20647427212,Performance Max-2,customers/5626118344/conversionActions/6736236130,Add to Cart,OUTBOUND_CLICK,0.000000,0.000000,10.004910,0.000000
2024-08-26,2024-09-01,20647427212,Performance Max-2,customers/5626118344/conversionActions/6736333819,Product Question,OUTBOUND_CLICK,0.000000,0.000000,2.000000,0.000000
2024-08-26,2024-09-01,20647427212,Performance Max-2,customers/5626118344/conversionActions/858632371,SR Sales,PURCHASE,7.370977,313.736611,7.370977,313.736611
2024-09-02,2024-09-08,20647427212,Performance Max-2,customers/5626118344/conversionActions/6736245036,Add Sample to Cart,OUTBOUND_CLICK,0.000000,0.000000,10.688226,0.000000
2024-09-02,2024-09-08,20647427212,Performance Max-2,customers/5626118344/conversionActions/6736236130,Add to Cart,OUTBOUND_CLICK,0.000000,0.000000,14.307621,0.000000
2024-09-02,2024-09-08,20647427212,Performance Max-2,customers/5626118344/conversionActions/858632371,SR Sales,PURCHASE,8.008420,686.917321,8.008420,686.917321
2024-09-09,2024-09-15,20647427212,Performance Max-2,customers/5626118344/conversionActions/6736245036,Add Sample to Cart,OUTBOUND_CLICK,0.000000,0.000000,11.988957,0.000000
2024-09-09,2024-09-15,20647427212,Performance Max-2,customers/5626118344/conversionActions/6736236130,Add to Cart,OUTBOUND_CLICK,0.000000,0.000000,22.500000,0.000000
2024-09-09,2024-09-15,20647427212,Performance Max-2,customers/5626118344/conversionActions/858632371,SR Sales,PURCHASE,10.279434,1201.244337,10.279434,1201.244337
